model,oof_roc_auc,fold_std,fold_1,fold_2,fold_3
XGB_30_C_regularized,0.9448201057642637,0.000551040205574659,0.944222040445829,0.9453072440170288,0.9449310328299332
XGB_30_A_balanced,0.9446139742806897,0.00043453868504223555,0.9441203775530796,0.9449388467866147,0.9447826985023747
XGB_30_D_deeper,0.9441040034620514,0.00048086442094393873,0.9435956360481785,0.9445515844820869,0.9441647898558885
XGB_30_B_interaction,0.9440081631254248,0.0005486597103426088,0.9433840879794684,0.9444146736411052,0.9442257277557009
