model,oof_roc_auc
XGB_G,0.9448153664508772
XGB_A,0.9447581962166481
XGB_E,0.944581084531677
XGB_D,0.9445703908318601
XGB_B,0.9444008934205143
XGB_H,0.9443516671950577
XGB_F,0.9442804309196579
XGB_C,0.9441856285193672
