type,models,weights,roc_auc
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_B+XGB_F,equal,0.9447725662670768
quad,XGB_G+XGB_D+XGB_B+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9447725108586627
rank_average,XGB_G+XGB_A+XGB_D+XGB_H+XGB_F,equal,0.9447722144601095
rank_average,XGB_G+XGB_E+XGB_D+XGB_F,equal,0.9447717429998277
rank_average,XGB_G+XGB_A+XGB_E+XGB_H+XGB_F,equal,0.944769709327934
rank_average,XGB_G+XGB_B,equal,0.9447697029042198
triple,XGB_A+XGB_E+XGB_F,"[0.6, 0.2, 0.2]",0.9447695114108163
triple,XGB_A+XGB_D+XGB_F,"[0.6, 0.2, 0.2]",0.9447686888728294
pair,XGB_A+XGB_F,"[0.75, 0.25]",0.9447684300002495
rank_average,XGB_G+XGB_A+XGB_B+XGB_H,equal,0.9447681463715437
quad,XGB_G+XGB_A+XGB_B+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9447678489101298
triple,XGB_A+XGB_E+XGB_H,"[0.7, 0.15, 0.15]",0.9447678016632463
pair,XGB_G+XGB_B,"[0.5, 0.5]",0.9447677127708336
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_H+XGB_F,equal,0.9447670773196445
pair,XGB_A+XGB_E,"[0.6, 0.4]",0.9447668174617847
rank_average,XGB_G+XGB_A+XGB_D+XGB_F+XGB_C,equal,0.9447664953140681
triple,XGB_A+XGB_E+XGB_D,"[0.5, 0.3, 0.2]",0.9447663624409359
rank_average,XGB_G+XGB_A+XGB_F+XGB_C,equal,0.9447660250330188
pair,XGB_A+XGB_D,"[0.8, 0.2]",0.9447660106184524
rank_average,XGB_G+XGB_H,equal,0.9447656916282859
pair,XGB_G+XGB_H,"[0.5, 0.5]",0.9447655588792835
triple,XGB_A+XGB_E+XGB_D,"[0.5, 0.25, 0.25]",0.9447654308627272
pair,XGB_A+XGB_D,"[0.75, 0.25]",0.9447643591885875
triple,XGB_A+XGB_E+XGB_C,"[0.7, 0.15, 0.15]",0.9447643173258314
rank_average,XGB_G+XGB_E+XGB_B,equal,0.9447641567407339
triple,XGB_A+XGB_D+XGB_H,"[0.7, 0.15, 0.15]",0.9447635040743011
triple,XGB_G+XGB_E+XGB_B,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447627112343552
rank_average,XGB_G+XGB_A+XGB_E+XGB_B+XGB_H,equal,0.9447624364188614
triple,XGB_A+XGB_D+XGB_C,"[0.7, 0.15, 0.15]",0.944762375308237
rank_average,XGB_G+XGB_A+XGB_D+XGB_B+XGB_H,equal,0.9447617495702003
triple,XGB_A+XGB_E+XGB_B,"[0.7, 0.15, 0.15]",0.9447616535558438
triple,XGB_A+XGB_H+XGB_F,"[0.7, 0.15, 0.15]",0.9447615133357824
pair,XGB_A+XGB_D,"[0.7, 0.3]",0.9447614473375493
rank_average,XGB_G+XGB_E+XGB_H,equal,0.9447611297360846
triple,XGB_G+XGB_E+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447609230367873
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_F+XGB_C,equal,0.9447608501881442
triple,XGB_A+XGB_B+XGB_F,"[0.7, 0.15, 0.15]",0.9447605231373025
pair,XGB_A+XGB_F,"[0.7, 0.3]",0.9447600051749159
rank_average,XGB_G+XGB_A+XGB_E+XGB_F+XGB_C,equal,0.9447595814657945
rank_average,XGB_G+XGB_A+XGB_B+XGB_C,equal,0.9447592750515227
pair,XGB_A+XGB_H,"[0.8, 0.2]",0.9447591263751225
quad,XGB_A+XGB_E+XGB_D+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9447586959785116
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_B+XGB_H,equal,0.9447586752333281
rank_average,XGB_G+XGB_D+XGB_B,equal,0.9447586274278607
triple,XGB_G+XGB_D+XGB_B,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447582528353275
triple,XGB_A+XGB_D+XGB_F,"[0.5, 0.3, 0.2]",0.9447579716969747
rank_average,XGB_G+XGB_A+XGB_H+XGB_C,equal,0.9447578881809318
triple,XGB_A+XGB_F+XGB_C,"[0.7, 0.15, 0.15]",0.9447577646563208
triple,XGB_A+XGB_E+XGB_H,"[0.6, 0.2, 0.2]",0.9447577169129181
triple,XGB_A+XGB_D+XGB_B,"[0.7, 0.15, 0.15]",0.9447577107995283
rank_average,XGB_G+XGB_E+XGB_D+XGB_B,equal,0.9447576727227295
triple,XGB_A+XGB_E+XGB_F,"[0.5, 0.3, 0.2]",0.9447576113250551
rank_average,XGB_G+XGB_A+XGB_D+XGB_B+XGB_C,equal,0.9447572475395676
quad,XGB_G+XGB_E+XGB_D+XGB_B,"[0.25, 0.25, 0.25, 0.25]",0.9447570205683318
pair,XGB_A+XGB_C,"[0.8, 0.2]",0.9447558429416976
rank_average,XGB_G+XGB_A+XGB_D+XGB_H+XGB_C,equal,0.9447558235929737
quad,XGB_A+XGB_E+XGB_D+XGB_B,"[0.5, 0.2, 0.15, 0.15]",0.9447552252333036
rank_average,XGB_G+XGB_E+XGB_D+XGB_H,equal,0.94475512686824
triple,XGB_A+XGB_D+XGB_F,"[0.5, 0.25, 0.25]",0.9447551250140519
rank_average,XGB_G+XGB_D+XGB_H,equal,0.9447550932989025
triple,XGB_G+XGB_D+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.944755049550926
quad,XGB_G+XGB_E+XGB_D+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9447548838377187
triple,XGB_A+XGB_D+XGB_H,"[0.6, 0.2, 0.2]",0.944754094504438
rank_average,XGB_G+XGB_A+XGB_E+XGB_B+XGB_C,equal,0.9447535575269259
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_B+XGB_C,equal,0.9447532838441159
pair,XGB_A+XGB_H,"[0.75, 0.25]",0.9447530469347425
rank_average,XGB_A+XGB_E,equal,0.9447528047188225
triple,XGB_A+XGB_E+XGB_F,"[0.5, 0.25, 0.25]",0.9447527222578824
pair,XGB_A+XGB_E,"[0.5, 0.5]",0.9447524201416031
rank_average,XGB_G+XGB_A+XGB_E+XGB_H+XGB_C,equal,0.9447522795879428
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_H+XGB_C,equal,0.9447520728110647
triple,XGB_A+XGB_E+XGB_B,"[0.6, 0.2, 0.2]",0.944751828771989
pair,XGB_A+XGB_D,"[0.6, 0.4]",0.9447513278696837
quad,XGB_A+XGB_E+XGB_D+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.9447510794550347
triple,XGB_A+XGB_D+XGB_C,"[0.6, 0.2, 0.2]",0.9447505259294762
triple,XGB_A+XGB_E+XGB_C,"[0.6, 0.2, 0.2]",0.9447501438814
pair,XGB_A+XGB_B,"[0.8, 0.2]",0.944750031745693
triple,XGB_A+XGB_H+XGB_C,"[0.7, 0.15, 0.15]",0.9447498018806825
quad,XGB_A+XGB_E+XGB_D+XGB_B,"[0.4, 0.3, 0.2, 0.1]",0.9447493784741279
rank_average,XGB_G+XGB_A+XGB_D+XGB_B+XGB_H+XGB_F,equal,0.944748984214788
triple,XGB_A+XGB_D+XGB_B,"[0.6, 0.2, 0.2]",0.9447483817665945
triple,XGB_A+XGB_B+XGB_H,"[0.7, 0.15, 0.15]",0.944748231647186
rank_average,XGB_G+XGB_A+XGB_B+XGB_H+XGB_F,equal,0.9447471859704692
rank_average,XGB_G+XGB_D+XGB_B+XGB_F,equal,0.9447471567456727
triple,XGB_A+XGB_E+XGB_H,"[0.5, 0.3, 0.2]",0.9447468752038983
pair,XGB_A+XGB_C,"[0.75, 0.25]",0.9447463277529391
rank_average,XGB_G+XGB_D+XGB_C,equal,0.9447456063186284
triple,XGB_A+XGB_B+XGB_C,"[0.7, 0.15, 0.15]",0.9447454536080115
triple,XGB_A+XGB_B+XGB_F,"[0.6, 0.2, 0.2]",0.9447452608500362
rank_average,XGB_G+XGB_E+XGB_D+XGB_C,equal,0.944744931836393
pair,XGB_A+XGB_H,"[0.7, 0.3]",0.9447445091203097
rank_average,XGB_G+XGB_A+XGB_E+XGB_B+XGB_H+XGB_F,equal,0.9447444877932683
rank_average,XGB_G+XGB_E+XGB_D+XGB_B+XGB_F,equal,0.9447441444969464
rank_average,XGB_A+XGB_E+XGB_D,equal,0.9447434723964507
triple,XGB_A+XGB_E+XGB_D,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447434682768947
rank_average,XGB_G+XGB_A+XGB_D+XGB_B+XGB_F+XGB_C,equal,0.94474332212188
pair,XGB_A+XGB_B,"[0.75, 0.25]",0.9447431065395481
triple,XGB_A+XGB_D+XGB_H,"[0.5, 0.3, 0.2]",0.9447429711993371
triple,XGB_G+XGB_D+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447427051117159
triple,XGB_A+XGB_H+XGB_F,"[0.6, 0.2, 0.2]",0.9447426908523116
triple,XGB_A+XGB_E+XGB_B,"[0.5, 0.3, 0.2]",0.9447426521393479
rank_average,XGB_G+XGB_B+XGB_F,equal,0.9447420005125015
triple,XGB_A+XGB_E+XGB_H,"[0.5, 0.25, 0.25]",0.9447410677473023
rank_average,XGB_G+XGB_E+XGB_C,equal,0.9447397344464538
quad,XGB_A+XGB_E+XGB_B+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9447397080300928
triple,XGB_G+XGB_B+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447396745693688
quad,XGB_A+XGB_E+XGB_D+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9447395091509694
rank_average,XGB_G+XGB_E+XGB_B+XGB_F,equal,0.9447393664095225
triple,XGB_A+XGB_D+XGB_C,"[0.5, 0.3, 0.2]",0.9447393391242535
quad,XGB_A+XGB_D+XGB_B+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.944739253591102
triple,XGB_A+XGB_D+XGB_H,"[0.5, 0.25, 0.25]",0.9447390349753495
triple,XGB_A+XGB_D+XGB_B,"[0.5, 0.3, 0.2]",0.9447390201961519
quad,XGB_A+XGB_E+XGB_D+XGB_B,"[0.35, 0.3, 0.2, 0.15]",0.9447380027279192
rank_average,XGB_G+XGB_A+XGB_B+XGB_F+XGB_C,equal,0.9447379045955987
triple,XGB_A+XGB_E+XGB_C,"[0.5, 0.3, 0.2]",0.9447373276483095
triple,XGB_G+XGB_E+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.944737267166092
rank_average,XGB_G+XGB_C,equal,0.9447366030409321
triple,XGB_A+XGB_E+XGB_B,"[0.5, 0.25, 0.25]",0.9447360066673377
rank_average,XGB_G+XGB_A+XGB_D+XGB_H+XGB_F+XGB_C,equal,0.9447359613522233
rank_average,XGB_G+XGB_A+XGB_E+XGB_B+XGB_F+XGB_C,equal,0.9447357133254797
pair,XGB_A+XGB_D,"[0.5, 0.5]",0.9447353720074757
rank_average,XGB_A+XGB_D,equal,0.9447348050215981
triple,XGB_A+XGB_D+XGB_B,"[0.5, 0.25, 0.25]",0.9447344305376784
triple,XGB_A+XGB_F+XGB_C,"[0.6, 0.2, 0.2]",0.9447343062760472
pair,XGB_A+XGB_B,"[0.7, 0.3]",0.9447341696867806
pair,XGB_A+XGB_C,"[0.7, 0.3]",0.9447335325675982
rank_average,XGB_G+XGB_E+XGB_D+XGB_H+XGB_F,equal,0.9447333588635384
pair,XGB_G+XGB_C,"[0.5, 0.5]",0.9447329263412054
rank_average,XGB_G+XGB_A+XGB_D+XGB_B+XGB_H+XGB_C,equal,0.9447328957199493
pair,XGB_A+XGB_F,"[0.6, 0.4]",0.9447326618052059
triple,XGB_A+XGB_D+XGB_C,"[0.5, 0.25, 0.25]",0.9447321642699197
triple,XGB_A+XGB_B+XGB_H,"[0.6, 0.2, 0.2]",0.9447310101736304
rank_average,XGB_G+XGB_D+XGB_H+XGB_F,equal,0.9447309952004797
rank_average,XGB_G+XGB_E+XGB_D+XGB_B+XGB_H,equal,0.9447288898669337
rank_average,XGB_G+XGB_A+XGB_E+XGB_H+XGB_F+XGB_C,equal,0.9447284488494714
rank_average,XGB_G+XGB_A+XGB_B+XGB_H+XGB_C,equal,0.9447281536379089
triple,XGB_A+XGB_E+XGB_C,"[0.5, 0.25, 0.25]",0.9447278306135259
rank_average,XGB_G+XGB_A+XGB_H+XGB_F+XGB_C,equal,0.9447278045462799
triple,XGB_A+XGB_H+XGB_C,"[0.6, 0.2, 0.2]",0.9447274949434254
rank_average,XGB_G+XGB_A+XGB_E+XGB_B+XGB_H+XGB_C,equal,0.9447274562692523
rank_average,XGB_G+XGB_D+XGB_B+XGB_H,equal,0.9447266651516066
quad,XGB_G+XGB_D+XGB_B+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9447265515030685
quad,XGB_A+XGB_D+XGB_B+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.9447248361619018
rank_average,XGB_A+XGB_E+XGB_D+XGB_F,equal,0.9447246494397352
triple,XGB_A+XGB_B+XGB_C,"[0.6, 0.2, 0.2]",0.9447241441153078
rank_average,XGB_G+XGB_E+XGB_B+XGB_H,equal,0.9447237335406652
quad,XGB_A+XGB_E+XGB_B+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.94472367251538
quad,XGB_G+XGB_E+XGB_B+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.944723393494991
rank_average,XGB_G+XGB_E+XGB_H+XGB_F,equal,0.9447232672705581
rank_average,XGB_G+XGB_E+XGB_D+XGB_F+XGB_C,equal,0.9447231273297887
triple,XGB_A+XGB_B+XGB_F,"[0.5, 0.25, 0.25]",0.9447222899427813
rank_average,XGB_A+XGB_D+XGB_F,equal,0.9447214580795474
rank_average,XGB_G+XGB_B+XGB_H,equal,0.9447204669811271
triple,XGB_G+XGB_B+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447200862364132
rank_average,XGB_G+XGB_D+XGB_F+XGB_C,equal,0.9447199438595977
rank_average,XGB_G+XGB_E+XGB_D+XGB_B+XGB_C,equal,0.9447199133547131
triple,XGB_A+XGB_B+XGB_F,"[0.5, 0.3, 0.2]",0.9447195535258615
pair,XGB_A+XGB_H,"[0.6, 0.4]",0.9447194461536332
triple,XGB_A+XGB_D+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447181013164765
rank_average,XGB_G+XGB_D+XGB_B+XGB_C,equal,0.9447176773047891
rank_average,XGB_G+XGB_E+XGB_D+XGB_B+XGB_H+XGB_F,equal,0.9447152339116447
rank_average,XGB_G+XGB_E+XGB_D+XGB_H+XGB_C,equal,0.9447151008212854
rank_average,XGB_G+XGB_H+XGB_F,equal,0.9447150254590149
triple,XGB_A+XGB_H+XGB_F,"[0.5, 0.25, 0.25]",0.9447138291198218
quad,XGB_A+XGB_D+XGB_B+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9447137908490705
triple,XGB_G+XGB_H+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447137401110376
rank_average,XGB_G+XGB_D+XGB_B+XGB_H+XGB_F,equal,0.944712077237962
triple,XGB_A+XGB_H+XGB_F,"[0.5, 0.3, 0.2]",0.9447120607287062
rank_average,XGB_G+XGB_D+XGB_H+XGB_C,equal,0.9447106584970593
pair,XGB_A+XGB_B,"[0.6, 0.4]",0.9447104729308509
quad,XGB_A+XGB_E+XGB_B+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9447103784138092
quad,XGB_A+XGB_E+XGB_D+XGB_B,"[0.25, 0.25, 0.25, 0.25]",0.9447102994750507
rank_average,XGB_A+XGB_E+XGB_D+XGB_B,equal,0.9447102880783886
quad,XGB_A+XGB_E+XGB_D+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9447100409283113
rank_average,XGB_A+XGB_E+XGB_D+XGB_H,equal,0.9447100219287023
rank_average,XGB_A+XGB_E+XGB_F,equal,0.9447097081597433
rank_average,XGB_G+XGB_A+XGB_B+XGB_H+XGB_F+XGB_C,equal,0.9447096039217914
rank_average,XGB_G+XGB_E+XGB_B+XGB_C,equal,0.9447081116417737
triple,XGB_A+XGB_E+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447074722572234
triple,XGB_A+XGB_B+XGB_H,"[0.5, 0.25, 0.25]",0.9447067163458762
rank_average,XGB_G+XGB_E+XGB_D+XGB_B+XGB_F+XGB_C,equal,0.9447065015238391
rank_average,XGB_G+XGB_E+XGB_F+XGB_C,equal,0.9447053454880221
triple,XGB_A+XGB_B+XGB_H,"[0.5, 0.3, 0.2]",0.944705126903302
rank_average,XGB_G+XGB_E+XGB_B+XGB_H+XGB_F,equal,0.9447031432169045
triple,XGB_A+XGB_F+XGB_C,"[0.5, 0.3, 0.2]",0.9447028437538982
rank_average,XGB_G+XGB_D+XGB_B+XGB_F+XGB_C,equal,0.9447025551444868
rank_average,XGB_A+XGB_E+XGB_D+XGB_B+XGB_F,equal,0.9447017241424029
rank_average,XGB_G+XGB_B+XGB_C,equal,0.9447012882995994
rank_average,XGB_G+XGB_E+XGB_H+XGB_C,equal,0.94470127894332
triple,XGB_A+XGB_D+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447012581748624
rank_average,XGB_A+XGB_D+XGB_H,equal,0.9447011406705439
triple,XGB_A+XGB_D+XGB_B,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447009376097997
rank_average,XGB_A+XGB_D+XGB_B,equal,0.9447006470763771
triple,XGB_A+XGB_F+XGB_C,"[0.5, 0.25, 0.25]",0.9446994778207425
rank_average,XGB_A+XGB_E+XGB_D+XGB_C,equal,0.9446987786987531
triple,XGB_A+XGB_E+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446986974015293
triple,XGB_G+XGB_B+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446985095544369
rank_average,XGB_A+XGB_E+XGB_H,equal,0.9446984399176508
triple,XGB_A+XGB_H+XGB_C,"[0.5, 0.3, 0.2]",0.9446977568782212
rank_average,XGB_G+XGB_E+XGB_D+XGB_B+XGB_H+XGB_C,equal,0.9446977141775895
rank_average,XGB_A+XGB_E+XGB_B,equal,0.9446974571979881
triple,XGB_A+XGB_E+XGB_B,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446973006858977
pair,XGB_A+XGB_C,"[0.6, 0.4]",0.9446970640868487
rank_average,XGB_G+XGB_E+XGB_D+XGB_H+XGB_F+XGB_C,equal,0.9446966831249081
triple,XGB_A+XGB_B+XGB_C,"[0.5, 0.3, 0.2]",0.9446965117327648
rank_average,XGB_A+XGB_F,equal,0.9446959009058135
rank_average,XGB_G+XGB_B+XGB_H+XGB_F,equal,0.9446956147324479
rank_average,XGB_A+XGB_D+XGB_B+XGB_F,equal,0.944695548229938
triple,XGB_A+XGB_H+XGB_C,"[0.5, 0.25, 0.25]",0.9446952371685591
triple,XGB_A+XGB_B+XGB_C,"[0.5, 0.25, 0.25]",0.9446945769690022
rank_average,XGB_A+XGB_E+XGB_D+XGB_H+XGB_F,equal,0.9446924208198424
rank_average,XGB_G+XGB_D+XGB_B+XGB_H+XGB_C,equal,0.9446920984936892
pair,XGB_A+XGB_F,"[0.5, 0.5]",0.9446916083363647
rank_average,XGB_G+XGB_F+XGB_C,equal,0.9446915964043932
rank_average,XGB_G+XGB_H+XGB_C,equal,0.9446904883602383
rank_average,XGB_A+XGB_D+XGB_C,equal,0.9446896990347158
rank_average,XGB_G+XGB_E+XGB_B+XGB_F+XGB_C,equal,0.9446892431294426
rank_average,XGB_G+XGB_D+XGB_H+XGB_F+XGB_C,equal,0.9446890283229215
triple,XGB_G+XGB_H+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446886468644617
triple,XGB_G+XGB_F+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446884182872972
rank_average,XGB_A+XGB_E+XGB_D+XGB_B+XGB_H,equal,0.9446876223518662
triple,XGB_A+XGB_D+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446866532399265
pair,XGB_A+XGB_H,"[0.5, 0.5]",0.9446843072808727
rank_average,XGB_A+XGB_H,equal,0.944684035180717
rank_average,XGB_A+XGB_E+XGB_B+XGB_F,equal,0.9446829805433842
rank_average,XGB_G+XGB_E+XGB_B+XGB_H+XGB_C,equal,0.9446821799918781
rank_average,XGB_A+XGB_D+XGB_H+XGB_F,equal,0.9446820465446457
rank_average,XGB_A+XGB_E+XGB_D+XGB_F+XGB_C,equal,0.9446814160664045
rank_average,XGB_G+XGB_B+XGB_F+XGB_C,equal,0.9446788383338452
pair,XGB_A+XGB_B,"[0.5, 0.5]",0.9446788002337724
rank_average,XGB_G+XGB_D+XGB_B+XGB_H+XGB_F+XGB_C,equal,0.9446786245358785
rank_average,XGB_A+XGB_B,equal,0.9446785677542789
rank_average,XGB_A+XGB_E+XGB_D+XGB_B+XGB_H+XGB_F,equal,0.94467817595426
rank_average,XGB_A+XGB_E+XGB_D+XGB_B+XGB_C,equal,0.9446781517799925
quad,XGB_A+XGB_D+XGB_B+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9446771151647468
rank_average,XGB_A+XGB_D+XGB_B+XGB_H,equal,0.9446770652335577
rank_average,XGB_G+XGB_E+XGB_H+XGB_F+XGB_C,equal,0.9446757537640273
rank_average,XGB_A+XGB_E+XGB_C,equal,0.9446750344244058
rank_average,XGB_A+XGB_E+XGB_D+XGB_H+XGB_C,equal,0.944674810075411
triple,XGB_A+XGB_E+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446726497368721
rank_average,XGB_G+XGB_B+XGB_H+XGB_C,equal,0.9446710908146985
rank_average,XGB_A+XGB_D+XGB_F+XGB_C,equal,0.9446695955943575
rank_average,XGB_A+XGB_E+XGB_B+XGB_H,equal,0.9446693584987896
quad,XGB_A+XGB_E+XGB_B+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9446692687374688
rank_average,XGB_A+XGB_E+XGB_H+XGB_F,equal,0.9446692623990938
rank_average,XGB_A+XGB_E+XGB_D+XGB_B+XGB_F+XGB_C,equal,0.944668967660776
rank_average,XGB_A+XGB_D+XGB_B+XGB_H+XGB_F,equal,0.9446682150155928
rank_average,XGB_A+XGB_B+XGB_F,equal,0.9446680930426037
rank_average,XGB_A+XGB_D+XGB_B+XGB_C,equal,0.9446671373754671
rank_average,XGB_G+XGB_E+XGB_B+XGB_H+XGB_F+XGB_C,equal,0.9446668730101458
triple,XGB_A+XGB_B+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446661447564573
rank_average,XGB_E+XGB_D,equal,0.9446625868876857
rank_average,XGB_A+XGB_D+XGB_H+XGB_C,equal,0.9446624230596986
pair,XGB_E+XGB_D,"[0.5, 0.5]",0.9446621225260735
rank_average,XGB_A+XGB_E+XGB_D+XGB_B+XGB_H+XGB_C,equal,0.9446610953602047
rank_average,XGB_A+XGB_E+XGB_D+XGB_H+XGB_F+XGB_C,equal,0.9446601174583277
pair,XGB_E+XGB_D,"[0.6, 0.4]",0.944659616393102
rank_average,XGB_G+XGB_H+XGB_F+XGB_C,equal,0.9446588826311562
rank_average,XGB_A+XGB_D+XGB_B+XGB_F+XGB_C,equal,0.9446580469742069
triple,XGB_E+XGB_D+XGB_F,"[0.5, 0.3, 0.2]",0.9446579276234588
rank_average,XGB_A+XGB_E+XGB_B+XGB_H+XGB_F,equal,0.94465627407563
rank_average,XGB_G+XGB_B+XGB_H+XGB_F+XGB_C,equal,0.9446535924542337
rank_average,XGB_A+XGB_E+XGB_B+XGB_C,equal,0.9446526792239529
triple,XGB_E+XGB_D+XGB_B,"[0.5, 0.3, 0.2]",0.9446524649061928
rank_average,XGB_A+XGB_C,equal,0.9446505070232656
rank_average,XGB_A+XGB_E+XGB_F+XGB_C,equal,0.9446503079346733
pair,XGB_E+XGB_D,"[0.7, 0.3]",0.9446502484222193
triple,XGB_A+XGB_B+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446501970247475
rank_average,XGB_A+XGB_B+XGB_H,equal,0.9446500719329987
quad,XGB_E+XGB_D+XGB_B+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.9446495018438774
rank_average,XGB_A+XGB_D+XGB_B+XGB_H+XGB_C,equal,0.9446489050978941
triple,XGB_E+XGB_D+XGB_F,"[0.5, 0.25, 0.25]",0.9446484440334781
triple,XGB_E+XGB_D+XGB_H,"[0.5, 0.3, 0.2]",0.944648380797132
rank_average,XGB_A+XGB_E+XGB_H+XGB_C,equal,0.9446481745555632
pair,XGB_A+XGB_C,"[0.5, 0.5]",0.9446465588983387
rank_average,XGB_A+XGB_D+XGB_H+XGB_F+XGB_C,equal,0.944646170248112
rank_average,XGB_A+XGB_H+XGB_F,equal,0.9446453635909743
rank_average,XGB_E+XGB_D+XGB_F,equal,0.9446453440948464
quad,XGB_E+XGB_D+XGB_B+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.944645272014256
triple,XGB_E+XGB_D+XGB_F,"[0.6, 0.2, 0.2]",0.9446450297750618
triple,XGB_E+XGB_D+XGB_B,"[0.5, 0.25, 0.25]",0.944644645484892
triple,XGB_A+XGB_H+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446433046276452
pair,XGB_E+XGB_D,"[0.75, 0.25]",0.9446430325895543
triple,XGB_E+XGB_D+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446428292727926
rank_average,XGB_A+XGB_E+XGB_B+XGB_F+XGB_C,equal,0.9446417926109985
rank_average,XGB_E+XGB_D+XGB_B,equal,0.9446411045132819
triple,XGB_E+XGB_D+XGB_B,"[0.6, 0.2, 0.2]",0.944641016885441
triple,XGB_E+XGB_D+XGB_B,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446407430629852
quad,XGB_E+XGB_D+XGB_B+XGB_H,"[0.5, 0.2, 0.15, 0.15]",0.9446402274590634
rank_average,XGB_A+XGB_D+XGB_B+XGB_H+XGB_F+XGB_C,equal,0.9446401624228359
triple,XGB_E+XGB_D+XGB_H,"[0.5, 0.25, 0.25]",0.9446391031771864
rank_average,XGB_E+XGB_D+XGB_B+XGB_F,equal,0.9446375265510081
rank_average,XGB_A+XGB_B+XGB_H+XGB_F,equal,0.9446372043877751
triple,XGB_E+XGB_D+XGB_H,"[0.6, 0.2, 0.2]",0.9446368492293049
triple,XGB_E+XGB_D+XGB_F,"[0.7, 0.15, 0.15]",0.9446365855234228
rank_average,XGB_A+XGB_E+XGB_B+XGB_H+XGB_C,equal,0.9446357137757508
triple,XGB_E+XGB_D+XGB_C,"[0.5, 0.3, 0.2]",0.9446346657250526
triple,XGB_D+XGB_B+XGB_F,"[0.6, 0.2, 0.2]",0.9446342879904854
pair,XGB_E+XGB_D,"[0.8, 0.2]",0.9446339679296999
triple,XGB_E+XGB_D+XGB_B,"[0.7, 0.15, 0.15]",0.9446327130866071
rank_average,XGB_E+XGB_D+XGB_H,equal,0.9446324693035492
triple,XGB_E+XGB_D+XGB_H,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9446321541070981
triple,XGB_D+XGB_B+XGB_F,"[0.7, 0.15, 0.15]",0.9446307766936418
triple,XGB_E+XGB_D+XGB_H,"[0.7, 0.15, 0.15]",0.944629967034116
