type,models,weights,roc_auc
pair,XGB_B+XGB_H,"[0.5, 0.5]",0.9444773154719642
triple,XGB_B+XGB_F+XGB_C,"[0.7, 0.15, 0.15]",0.9444767073448349
triple,XGB_B+XGB_H+XGB_C,"[0.6, 0.2, 0.2]",0.944476169894078
pair,XGB_B+XGB_F,"[0.8, 0.2]",0.9444713111999019
pair,XGB_B+XGB_H,"[0.7, 0.3]",0.9444708309108921
rank_average,XGB_B+XGB_H+XGB_C,equal,0.9444683884332047
triple,XGB_B+XGB_H+XGB_C,"[0.7, 0.15, 0.15]",0.9444674269630023
triple,XGB_B+XGB_H+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9444667718062164
rank_average,XGB_B+XGB_F+XGB_C,equal,0.9444657582791032
triple,XGB_B+XGB_F+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9444642148731475
pair,XGB_B+XGB_H,"[0.75, 0.25]",0.9444641320087854
pair,XGB_B+XGB_H,"[0.8, 0.2]",0.9444554549052645
pair,XGB_B+XGB_C,"[0.7, 0.3]",0.9444427425222205
pair,XGB_B+XGB_C,"[0.75, 0.25]",0.9444422517520052
pair,XGB_B+XGB_C,"[0.8, 0.2]",0.9444390916182059
pair,XGB_B+XGB_C,"[0.6, 0.4]",0.9444361173919721
triple,XGB_H+XGB_F+XGB_C,"[0.5, 0.3, 0.2]",0.9444358548730806
triple,XGB_H+XGB_F+XGB_C,"[0.5, 0.25, 0.25]",0.9444338967574103
triple,XGB_H+XGB_F+XGB_C,"[0.6, 0.2, 0.2]",0.9444306658463828
rank_average,XGB_H+XGB_F+XGB_C,equal,0.9444263940066014
triple,XGB_H+XGB_F+XGB_C,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9444249384379554
pair,XGB_H+XGB_F,"[0.6, 0.4]",0.9444222360481013
rank_average,XGB_B+XGB_C,equal,0.9444213247806224
triple,XGB_H+XGB_F+XGB_C,"[0.7, 0.15, 0.15]",0.9444209166342676
rank_average,XGB_H+XGB_F,equal,0.9444198887468945
pair,XGB_B+XGB_C,"[0.5, 0.5]",0.9444196132797196
pair,XGB_H+XGB_F,"[0.5, 0.5]",0.9444189267413828
pair,XGB_H+XGB_F,"[0.7, 0.3]",0.9444172176299779
pair,XGB_H+XGB_F,"[0.75, 0.25]",0.9444116561752591
