model,oof_roc_auc
XGB_29_07_high_subsample,0.9448550433984445
XGB_29_03_shallower,0.9448480870124596
XGB_29_04_slow,0.9448206307932968
XGB_29_01_23B,0.9448023239059898
XGB_29_06_regularized,0.9447952548955371
XGB_29_08_low_child,0.9447675272977225
XGB_29_05_fast,0.9447374192172695
XGB_29_02_deeper,0.9445368945292041
